Belegungsfaktor: 0,1315789 | T(20): 090.112 | T1(20): 014.336 | T2(20): 018.432 | T3(20): 057.344
Belegungsfaktor: 0,1307190 | T(20): 076.361 | T1(20): 020.188 | T2(20): 019.602 | T3(20): 036.571
Belegungsfaktor: 0,1298701 | T(20): 065.243 | T1(20): 011.117 | T2(20): 019.310 | T3(20): 034.816
Belegungsfaktor: 0,1290323 | T(20): 078.117 | T1(20): 019.895 | T2(20): 023.991 | T3(20): 034.231
Belegungsfaktor: 0,1282051 | T(20): 058.807 | T1(20): 010.532 | T2(20): 017.555 | T3(20): 030.720
Belegungsfaktor: 0,1273885 | T(20): 092.160 | T1(20): 022.528 | T2(20): 022.821 | T3(20): 046.811
Belegungsfaktor: 0,1265823 | T(20): 073.436 | T1(20): 016.677 | T2(20): 019.310 | T3(20): 037.449
Belegungsfaktor: 0,1257862 | T(20): 066.121 | T1(20): 013.751 | T2(20): 017.554 | T3(20): 034.816
Belegungsfaktor: 0,1250000 | T(20): 144.823 | T1(20): 022.821 | T2(20): 077.824 | T3(20): 044.178
Belegungsfaktor: 0,1242236 | T(20): 076.069 | T1(20): 017.262 | T2(20): 022.821 | T3(20): 035.986
Belegungsfaktor: 0,1234568 | T(20): 090.405 | T1(20): 013.458 | T2(20): 037.157 | T3(20): 039.790
Belegungsfaktor: 0,1226994 | T(20): 076.946 | T1(20): 011.996 | T2(20): 017.261 | T3(20): 047.689
Belegungsfaktor: 0,1219512 | T(20): 265.070 | T1(20): 205.678 | T2(20): 021.065 | T3(20): 038.327
Belegungsfaktor: 0,1212121 | T(20): 084.845 | T1(20): 033.353 | T2(20): 018.139 | T3(20): 033.353
Belegungsfaktor: 0,1204819 | T(20): 070.511 | T1(20): 012.874 | T2(20): 019.895 | T3(20): 037.742
Belegungsfaktor: 0,1197605 | T(20): 925.696 | T1(20): 850.797 | T2(20): 027.502 | T3(20): 047.397
Belegungsfaktor: 0,1190476 | T(20): 068.462 | T1(20): 014.044 | T2(20): 019.895 | T3(20): 034.523
Belegungsfaktor: 0,1183432 | T(20): 085.724 | T1(20): 020.773 | T2(20): 022.528 | T3(20): 042.423
Belegungsfaktor: 0,1176471 | T(20): 090.697 | T1(20): 030.427 | T2(20): 020.773 | T3(20): 039.497
Belegungsfaktor: 0,1169591 | T(20): 066.706 | T1(20): 013.751 | T2(20): 019.309 | T3(20): 033.646
Belegungsfaktor: 0,1162791 | T(20): 080.164 | T1(20): 014.628 | T2(20): 027.795 | T3(20): 037.741
Belegungsfaktor: 0,1156069 | T(20): 062.318 | T1(20): 009.948 | T2(20): 018.432 | T3(20): 033.938
Belegungsfaktor: 0,1149425 | T(20): 068.169 | T1(20): 012.287 | T2(20): 021.066 | T3(20): 034.816
Belegungsfaktor: 0,1142857 | T(20): 112.932 | T1(20): 058.514 | T2(20): 019.017 | T3(20): 035.401
Belegungsfaktor: 0,1136364 | T(20): 098.305 | T1(20): 035.402 | T2(20): 024.576 | T3(20): 038.327
Belegungsfaktor: 0,1129944 | T(20): 069.924 | T1(20): 013.458 | T2(20): 020.480 | T3(20): 035.986
Belegungsfaktor: 0,1123596 | T(20): 069.047 | T1(20): 014.043 | T2(20): 019.017 | T3(20): 035.987
Belegungsfaktor: 0,1117318 | T(20): 085.138 | T1(20): 021.943 | T2(20): 021.357 | T3(20): 041.838
Belegungsfaktor: 0,1111111 | T(20): 080.457 | T1(20): 017.847 | T2(20): 022.528 | T3(20): 040.082
Belegungsfaktor: 0,1104972 | T(20): 075.191 | T1(20): 014.336 | T2(20): 022.820 | T3(20): 038.035
Belegungsfaktor: 0,1098901 | T(20): 154.184 | T1(20): 084.260 | T2(20): 023.698 | T3(20): 046.226
